gea_code,roadman_code
SSAGROUN,SBENNET
SSAGROUN,ASMOURE
SSAGROUN,MLETELLIER
SSAGROUN,ASOUMARE
PBOURCIER,ASIRAVO
SSAGROUN,RMALICORNET
WNOCCHI,AADECHOKANE
SSAGROUN,RVANDEPUTTE
WNOCCHI,KNABTI
SSAGROUN,SSAGROUN
SSAGROUN,JGUSTAVE
SSAGROUN,KSAADOUNI
SSAGROUN,MLETELLI
SSAGROUN,PVERTOT
SSAGROUN,STOURE
SSAGROUN,JDEGAUQUE
TLUCET,TLUCET
TLUCET,KGUYOT
TLUCET,AKONE
TLUCET,BYABAS
TLUCET,EVESEL
TLUCET,MCOLIN
TLUCET,QBLAS
TLUCET,SJASAR
WNOCCHI,WNOCCHI
WNOCCHI,MGUINARD
WNOCCHI,CCUNIN
WNOCCHI,FSAHBI
WNOCCHI,MDIA
WNOCCHI,SBASSOP
PBOURCIER,HGIRARD
PBOURCIER,AMALCANGI
PBOURCIER,CCARAGE
PBOURCIER,CROSIER
PBOURCIER,GJACOB
PBOURCIER,LTHIELY
PBOURCIER,MHOURDE
PBOURCIER,MPOQUERUS
PBOURCIER,PBOURCIER
PBOURCIER,VLOZANO
SSAGROUN,VROBERT
SSAGROUN,ADUMINIL
PBOURCIER,DHOARAU
PBOURCIER,TECHEST

