product_id,product_name,units_per_pack
488,BEGHIN SAY 300 BUCHETTES,300
561,NESPRESSO DISTRIBUTEUR 300 SUCRES,300
572,NESPRESSO GOBELET 360ML RAME 35,35
573,NESPRESSO GOBELET 240ML RAME DE 30,30
574,NESPRESSO GOBELET 110ML RAME 50,50
578,NESPRESSO LONG MELANG BOIS BTE 200,200
580,NESPRESSO MELANGEUR BTE 100,100
581,NESPRESSO MELANGEUR BOIS BTE 200,200
582,NESPRESSO MELANGEURS EN BAMBOU INDI,100
592,NESPRESSO SUCRE BATONNET 100 UNITES,100
593,NESPRESSO SUCRE BTE 300,300
625,BUCHETTES DE SUCRE CARTON DE 500,500
