product_code,quantite,device_group
LCDP529,3,ANIMO GRAIN + MODULO
REGILAIT500,2,ANIMO GRAIN + MODULO
VANHCHOCVHSELECT,3,ANIMO GRAIN + MODULO
NUNS124TBH,15,ANIMO GRAIN + MODULO
NUNS110TBH,15,ANIMO GRAIN + MODULO
NUNS30TBH,15,ANIMO GRAIN + MODULO
LCDP529,3,ANIMO GRAIN
REGILAIT500,2,ANIMO GRAIN
VANHCHOCVHSELECT,3,ANIMO GRAIN
STMIMADELEINE85,6,FAS
BRICGAUF90,6,FAS
REALSEAS35,6,FAS
HARDELIR120,6,FAS
KERCGALMOEL100,6,FAS
MILKCOOKIE52,6,FAS
MATEPOMPOTE90,15,FAS
STMIGALBIO51,15,FAS
KINDBUEN43,15,FAS
GERBBISCLAITC46,15,FAS
BJORLUNFRAISE50,15,FAS
NUTEBISC,15,FAS
NATUPROTCHOCO40,15,FAS
KITKAT41,15,FAS
SNICKERS50,15,FAS
TWIX50,15,FAS
LUBELVITA50,15,FAS
MMS45,15,FAS
PURELIFE50,5,FAS
SANPCAN,5,FAS
VOLVNATU33,5,FAS
BAHIGOYA33,5,FAS
COCAORIGSLIM33,5,FAS
COCAZEROSLIM33,5,FAS
ORANGINASLIM33,5,FAS
OASITROPSLIM33,5,FAS
NESPRISTRETTO,40,GEMINI CAPS
NESPFORTE,80,GEMINI CAPS
NESPFINEZZO,80,GEMINI CAPS
NESPDECAFFEINATO,40,GEMINI CAPS
NESTCAFE500,3,LYO + MODULO
NESTLAIT500,2,LYO + MODULO
NESTCHOCAL1000,1,LYO + MODULO
NUNS124TBH,15,LYO + MODULO
NUNS110TBH,15,LYO + MODULO
NUNS30TBH,15,LYO + MODULO
NESTCAFE500,3,LYO
NESTLAIT500,2,LYO
NESTCHOCAL1000,1,LYO
NESTCAFE500,3,MILANO GRAIN + MODULO
NESTLAIT500,2,MILANO GRAIN + MODULO
NESTCHOCAL1000,1,MILANO GRAIN + MODULO
NESTCAFEGR1000,1,MILANO GRAIN + MODULO
NUNS124TBH,15,MILANO GRAIN + MODULO
NUNS110TBH,15,MILANO GRAIN + MODULO
NUNS30TBH,15,MILANO GRAIN + MODULO
NESTCAFE500,3,MILANO GRAIN
NESTLAIT500,2,MILANO GRAIN
NESTCHOCAL1000,1,MILANO GRAIN
NESTCAFEGR1000,1,MILANO GRAIN
NESPRISTRETTO,100,MOMENTO CAPS
NESPFORTE,100,MOMENTO CAPS
NESPFINEZZO,100,MOMENTO CAPS
NESPDECAFFEINATO,100,MOMENTO CAPS
